date,rank,track_name,artist,streams,album_name,track_uri,weeks_on_chart,peak_rank,previous_rank,album_cover_url
2024-01-04,1,greedy,Tate McRae,33855816,greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,16,1,14,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
2024-01-04,2,La Diabla,Xavi,30894083,La Diabla,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,4,2,17,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611
2024-01-04,3,Lovin On Me,Jack Harlow,30778444,Lovin On Me,spotify:track:4xhsWYTOGcal8zt0J161CU,8,3,19,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
2024-01-04,4,Cruel Summer,Taylor Swift,30224692,Lover,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,48,2,20,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
2024-01-04,5,My Love Mine All Mine,Mitski,26430016,The Land Is Inhospitable and So Are We,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,15,3,18,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
2024-01-04,6,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",25102523,The Idol Episode 4 (Music from the HBO Original Series),spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,13,6,28,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262
2024-01-04,7,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",24932897,GOLDEN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,25,1,31,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
2024-01-04,8,Paint The Town Red,Doja Cat,23007926,Paint The Town Red,spotify:track:56y1jOTK0XSvJzVv9vHQBK,22,1,37,https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30
2024-01-04,9,La Víctima,Xavi,22586881,NEXT,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,6,9,40,https://i.scdn.co/image/ab67616d0000b273de88a62b44d6c0b2dda333a3
2024-01-04,10,BELLAKEO,"Peso Pluma, Anitta",21934979,BELLAKEO,spotify:track:05WVKTdZhlIMX4qqMLuo0f,4,10,35,https://i.scdn.co/image/ab67616d0000b2736601556a0f7c0b54ded13c9d
2024-01-04,11,Stick Season,Noah Kahan,20766879,Stick Season,spotify:track:0mflMxspEfB0VbI1kyLiAv,13,11,47,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
2024-01-04,12,Water,Tyla,20253784,Water,spotify:track:5aIVCx5tnk0ntmdiinnYvw,15,12,53,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e
2024-01-04,13,Strangers,Kenya Grace,19944265,Strangers,spotify:track:5mjYQaktjmjcMKcUIcqz4s,18,4,45,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
2024-01-04,14,PERRO NEGRO,"Bad Bunny, Feid",19940949,nadie sabe lo que va a pasar mañana,spotify:track:7iQXYTyuG13aoeHxGG28Nh,12,4,39,https://i.scdn.co/image/ab67616d0000b2732ea1f035463d11e1fc3b193d
2024-01-04,15,QLONA,"KAROL G, Peso Pluma",19637213,MAÑANA SERÁ BONITO (BICHOTA SEASON),spotify:track:5RqSsdzTNPX1uzkmlHCFvK,21,5,36,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
2024-01-04,16,Standing Next to You,Jung Kook,19208564,GOLDEN,spotify:track:2KslE17cAJNHTsI2MI0jb2,9,1,49,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
2024-01-04,17,I Wanna Be Yours,Arctic Monkeys,19178677,AM,spotify:track:5XeFesFbtLpXzIVDNQP22n,78,15,41,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
2024-01-04,18,LUNA,"Feid, ATL Jacob",18756356,FERXXOCALIPSIS,spotify:track:7bywjHOc0wSjGGbj04XbVi,4,18,42,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242
2024-01-04,19,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",18213631,Que Onda,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,18,16,43,https://i.scdn.co/image/ab67616d0000b273c8fd4190e32eed2dfcd00f66
2024-01-04,20,HARLEY QUINN,"Fuerza Regida, Marshmello",17844095,Pa las Baby's Y Belikeada,spotify:track:6CvTEtGagmzQvkUzzyKR9k,10,11,46,https://i.scdn.co/image/ab67616d0000b273ad57982065339f7dc2058efe
2024-01-04,21,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",17771360,Popular (Music from the HBO Original Series),spotify:track:6WzRpISELf3YglGAh7TXcG,31,16,68,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
2024-01-04,22,Si No Estás,iñigo quintero,17466144,Si No Estás,spotify:track:2HafqoJbgXdtjwCOvNEF14,15,1,44,https://i.scdn.co/image/ab67616d0000b273c0a5c14b34a02f242af03359
2024-01-04,23,vampire,Olivia Rodrigo,17456781,GUTS,spotify:track:1kuGVB7EU95pJObxwvfwKS,27,1,62,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
